Model,Feature Set,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Train Time (s),TN,FP,FN,TP
Logistic Regression,Set A,0.6795,0.3671,0.6202,0.4612,0.7084,0.4908,0.038,3254,1419,504,823
Logistic Regression,Set B,0.7558,0.4599,0.5968,0.5195,0.7583,0.5243,0.053,3743,930,535,792
