Model,Feature Set,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Train Time (s),TN,FP,FN,TP
KNN,Set A,0.7923,0.5474,0.3527,0.429,0.7015,0.4137,0.003,4286,387,859,468
KNN,Set B,0.7928,0.5473,0.3662,0.4388,0.7075,0.4222,0.006,4271,402,841,486
