Model,Feature Set,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Train Time (s),TN,FP,FN,TP
Decision Tree,Set A,0.7235,0.4188,0.6451,0.5079,0.7529,0.5136,0.163,3485,1188,471,856
Decision Tree,Set B,0.7317,0.4307,0.6624,0.522,0.7646,0.5288,0.308,3511,1162,448,879
