Model,Accuracy (A),Accuracy (B),Accuracy Delta,Precision (A),Precision (B),Precision Delta,Recall (A),Recall (B),Recall Delta,F1-score (A),F1-score (B),F1-score Delta,ROC-AUC (A),ROC-AUC (B),ROC-AUC Delta,PR-AUC (A),PR-AUC (B),PR-AUC Delta
Logistic Regression,0.6795,0.7558,0.07630000000000003,0.3671,0.4599,0.0928,0.6202,0.5968,-0.023399999999999976,0.4612,0.5195,0.05829999999999996,0.7084,0.7583,0.049899999999999944,0.4908,0.5243,0.033499999999999974
Decision Tree,0.7235,0.7317,0.008199999999999985,0.4188,0.4307,0.011900000000000022,0.6451,0.6624,0.017299999999999982,0.5079,0.522,0.014100000000000001,0.7529,0.7646,0.011699999999999933,0.5136,0.5288,0.015200000000000102
KNN,0.7923,0.7928,0.0004999999999999449,0.5474,0.5473,-9.999999999998899e-05,0.3527,0.3662,0.013500000000000012,0.429,0.4388,0.009800000000000031,0.7015,0.7075,0.006000000000000005,0.4137,0.4222,0.008500000000000008
SVM,0.8083,0.8162,0.007900000000000018,0.6928,0.6564,-0.03639999999999999,0.2396,0.3542,0.11460000000000001,0.3561,0.4601,0.10399999999999998,0.7077,0.7559,0.04820000000000002,0.49,0.5173,0.02729999999999999
Random Forest,0.7907,0.7922,0.0015000000000000568,0.525,0.5285,0.0034999999999999476,0.5614,0.5584,-0.0030000000000000027,0.5426,0.5431,0.000500000000000056,0.7752,0.7785,0.0032999999999999696,0.5504,0.5545,0.0040999999999999925
Gradient Boosting,0.8158,0.818,0.0021999999999999797,0.6529,0.6594,0.00649999999999995,0.3572,0.3662,0.009000000000000008,0.4618,0.4709,0.009099999999999997,0.7722,0.7778,0.005600000000000049,0.5408,0.5507,0.00990000000000002
XGBoost,0.7632,0.7668,0.0036000000000000476,0.4715,0.4785,0.007000000000000006,0.5855,0.6051,0.01959999999999995,0.5224,0.5344,0.01200000000000001,0.7653,0.7722,0.006900000000000017,0.5425,0.5465,0.0040000000000000036
