Model,Feature Set,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Train Time (s),TN,FP,FN,TP
Random Forest,Set A,0.7907,0.525,0.5614,0.5426,0.7752,0.5504,0.797,3999,674,582,745
Random Forest,Set B,0.7922,0.5285,0.5584,0.5431,0.7785,0.5545,1.09,4012,661,586,741
