Rank,Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Train Time (s)
1,Random Forest,0.7922,0.5285,0.5584,0.5431,0.7785,0.5545,1.09
2,XGBoost,0.7668,0.4785,0.6051,0.5344,0.7722,0.5465,0.457
3,Decision Tree,0.7317,0.4307,0.6624,0.522,0.7646,0.5288,0.308
4,Logistic Regression,0.7558,0.4599,0.5968,0.5195,0.7583,0.5243,0.053
5,Gradient Boosting,0.818,0.6594,0.3662,0.4709,0.7778,0.5507,40.752
6,SVM,0.8162,0.6564,0.3542,0.4601,0.7559,0.5173,0.657
7,KNN,0.7928,0.5473,0.3662,0.4388,0.7075,0.4222,0.006
