Model,Feature Set,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Train Time (s),TN,FP,FN,TP
XGBoost,Set A,0.7632,0.4715,0.5855,0.5224,0.7653,0.5425,0.45,3802,871,550,777
XGBoost,Set B,0.7668,0.4785,0.6051,0.5344,0.7722,0.5465,0.457,3798,875,524,803
