Model,Feature Set,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Train Time (s),TN,FP,FN,TP
SVM,Set A,0.8083,0.6928,0.2396,0.3561,0.7077,0.49,0.224,4532,141,1009,318
SVM,Set B,0.8162,0.6564,0.3542,0.4601,0.7559,0.5173,0.657,4427,246,857,470
