Model,TN,FP,FN,TP,Default Recall,Default Precision
Logistic Regression,2304,2369,371,956,0.7204,0.2875
Decision Tree,3511,1162,448,879,0.6624,0.4307
KNN,4264,409,1092,235,0.1771,0.3649
SVM,4477,196,946,381,0.2871,0.6603
Random Forest,4012,661,586,741,0.5584,0.5285
Gradient Boosting,4422,251,841,486,0.3662,0.6594
XGBoost,3798,875,524,803,0.6051,0.4785
